Longitude,Latitude,RFBO min
-160.65773409015142,22.19466370078167,3.8821414E-5
-160.5804048373638,20.65900923434302,1.3210006E-5
-158.1686394871162,21.99868792729983,3.0480174E-5
-158.7644061173028,23.51771446551662,4.582339E-5
-159.02676810023965,21.404015542298495,4.769525E-5
-160.99728595221129,21.19215552137722,1.4858412E-5
-159.31863990875505,22.498039282716935,2.774704E-4
-158.873415498491,20.281573119536116,1.8052648E-5
-159.2672412144565,22.856499653537522,6.04908E-5
-159.59408102581017,24.34643762970786,5.2203097E-5
-160.5502373118648,23.665805452003895,7.126898E-5
-158.38364734083308,21.49833885015862,1.137072E-5
-157.15028270609378,21.69307334529501,4.9025708E-5
-157.43905444675215,23.457400708916033,3.614758E-5
-158.541377791927,22.0596469016704,6.5273816E-5
-160.28480749227236,21.82543961034694,4.01739E-6
-159.505433172662,20.20566074209825,1.372075E-5
-159.51872352627566,23.32130181032157,8.852347E-5
-159.65914268631767,23.60023627484336,6.510456E-5
-159.5266856361981,20.63302062126938,2.9300958E-5
-158.81657490581435,21.066642148230287,1.6774422E-5
-159.12632825608063,20.62890711050121,1.6075794E-5
-160.08410610372042,21.709887773609196,1.1160043E-5
-159.97531775006496,21.478419764694152,2.9684681E-5
-158.41392667236607,22.6546633711094,1.3313677E-4
-160.54745309971648,23.77483808718961,6.6986206E-5
-159.63735047541434,20.877083107886996,2.3432684E-5
-158.58649169943246,21.114892769637706,5.713304E-6
-161.0702440837212,23.4824997195536,3.7204692E-5
-161.19430246672195,23.53786179939069,3.9303817E-5
-157.82073205626543,23.154097905743907,4.121654E-5
-159.40691289468953,24.11240613865244,9.065012E-5
-158.67318321707015,21.2273765010309,1.25168035E-5
-159.86245564990347,23.185342521132,1.8197802E-4
-159.475162580012,22.62656348599066,2.3716953E-4
-159.75517231553482,20.94303096476982,2.4137942E-5
-158.03133564156443,22.43801068986273,7.296092E-5
-160.23306461973993,20.640001966268784,2.1572292E-5
-160.30182016381536,21.344676443191197,2.5649035E-5
-160.34068623298134,22.745371447308898,9.484614E-5
-158.6845594757173,21.666500260025888,1.5943588E-5
-158.4455719212833,20.470596891588656,7.33058E-6
-160.69469083975793,21.52442627550973,6.085173E-7
-159.28095486596314,21.758089696431497,6.3628846E-5
-158.0917863882605,23.993880958859553,3.010723E-5
-159.6505520064576,23.433161477303123,1.1978163E-4
-158.05030495281244,22.045542571433902,2.7146723E-5
-159.48381337631906,23.273783717632476,1.2749703E-4
-160.30146746477914,21.583071165261476,1.9364159E-5
-158.57829342047017,21.67847143341942,1.4949186E-5
-158.50329841794397,23.20211118723511,9.2590184E-5
-159.2527201512237,21.229600610095872,2.0506242E-5
