Longitude,Latitude,RFBO cloglog values
-158.505510146024,21.1987581070346,0.57667536
-159.208955246991,22.7623549400656,0.7613228
-160.289889821515,23.2286236362741,0.48853463
-159.141028195771,24.0261861679227,0.6278587
-160.764609233465,23.9097010833599,0.56298566
-159.391297924387,23.8240036704341,0.4506698
-157.223143742507,22.3034016751848,0.37846762
-158.481559035121,23.2724157165938,0.6962675
-161.195839641162,23.1505871160034,0.3637996
-160.355811382964,21.6728352194999,0.40738565
-158.872835031552,20.4726688315086,0.16603959
-158.880932626594,20.3177883675427,0.2452163
-161.620185448577,22.7852975979915,0.6370084
-159.489316753309,22.7797446131844,0.62847453
-159.59579395424,21.6425547050962,0.47651103
-160.739070454064,22.3226368041862,0.3360322
-159.698887327484,23.9459944021848,0.6839233
-158.041112928426,23.0856848811097,0.3963654
-161.108899428826,23.5511050480245,0.22497787
-161.5812102485,22.9088396885496,0.3919174
-158.882344933646,20.3288237718211,0.26738587
-160.451137711038,22.1821629280191,0.7134584
-157.884472671439,21.3511124442939,0.16284364
-160.712227148659,20.8589290263274,0.20887426
-157.562828185299,22.0494225672156,0.39739513
-160.185926475357,21.1607081231401,0.17905992
-160.347895827109,22.7945110968291,0.6618921
-158.275451461972,21.6209279928579,0.46832275
-159.424490057366,22.5525248219929,0.79262424
-157.986925358409,22.6052744174881,0.580384
-160.694622920497,24.0155112497374,0.7354341
-157.222157548266,21.8217444787384,0.29921424
-158.396346650038,24.1348641865786,0.49300393
-158.126941551266,20.8172480906613,0.4628119
-158.974633706961,20.4927159475523,0.34559068
-157.345293687218,21.1582940563652,0.61825615
-157.189157121598,22.583349690886,0.38750133
-159.001471478709,23.947814678076,0.48024693
-157.610396539054,21.5228320728182,0.27262118
-161.496582307252,22.2005173072319,0.23416063
-158.123460615063,22.1298329516274,0.6347884
-157.636440536386,21.1085952229236,0.18331936
-159.439919416432,21.7724348188938,0.4194413
-159.291185277441,23.0921213599306,0.76087123
-159.878878576574,21.5819226491589,0.6201542
-158.145425673333,23.627352303741,0.4680414
-159.18453517658,24.2736809785489,0.5653918
-159.58854018592,21.7695068059803,0.37685966
-159.317208693551,24.3163075678488,0.3212643
-160.522888484334,22.3369875817694,0.35123768
-158.730556599782,21.6390420257152,0.469785
-158.134907085614,20.4098977056395,0.12297545
-158.367002255965,20.9899943885045,0.35909396
-158.908617523114,23.9682274639853,0.3010145
-161.622845156806,21.4601338966292,0.24093981
-161.412282722766,21.1136838296242,0.21630931
-161.079240946058,22.1929532958115,0.15911254
-159.845184956521,22.441423412566,0.6841132
-159.939507110443,22.6527779758688,0.3756477
-161.16685997523,23.4606750207561,0.27397764
-160.272292157021,22.2664583359304,0.5216909
-159.502416176756,21.026402651617,0.23777051
-158.507009112734,21.6787856551666,0.45798424
-159.727875586912,20.3843207932262,0.27416074
-160.22097643514,23.4304173911736,0.5235681
-160.958657023942,22.9773247116739,0.5856972
-161.120678132383,20.8717383253756,0.28545967
-161.615646246393,22.8271038115189,0.39541912
-158.511819451792,23.8277368135426,0.59141856
-158.144061478227,21.0827477437065,0.28167376
-160.004457886447,23.1347488632645,0.7514946
-160.699599724428,22.9470113716659,0.36911073
-160.436537912863,23.9612700972507,0.66026366
-158.259728845944,23.256752289578,0.52356505
-157.250700625687,21.9643958620371,0.65480864
-158.1334384008,20.5155784539321,0.15924402
-158.764939690192,24.3774177506202,0.62754244
-158.988632026406,22.5913267267767,0.7998713
-157.388596361129,21.8237471590853,0.53420544
-158.82350352819,23.9387633709097,0.6014033
-157.935948353798,22.7548902112097,0.7564958
-158.022532243603,21.1397856502146,0.4323078
