X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-159.284547,22.8474321,train,1.8732542802716136E-4,64.63480141800358,0.7845744581610711
-159.253107053609,22.5563137710332,train,1.9772003619198834E-4,68.69662046320542,0.8021654500284296
-159.348598464939,22.4698912245386,train,2.6484885440227965E-4,87.58405960921634,0.8858734955136871
-159.259603277959,22.740454496211,train,1.5632225482953047E-4,52.29791817564734,0.7222593749801776
-159.043071064116,22.4203516117368,train,2.3903029604815487E-4,82.2611877079409,0.8589814110494187
-159.1240611,22.6535334,train,1.654348887802733E-4,56.03994043773748,0.7422450706291076
-159.149836369336,22.7046314243029,train,1.5511246395244992E-4,51.84934573853977,0.7194920791364109
-159.6002224,22.7821596,train,1.3608812384312554E-4,44.714821461997374,0.672166043938909
-158.989698758137,22.5061417077559,train,1.9203706977467174E-4,66.34540226015486,0.7927339508774971
-159.4736623,22.5042348,train,1.9802150803483042E-4,68.8337859074501,0.8026536117986356
-159.5140416,22.6684231,train,2.0607314017982988E-4,72.18518471742833,0.8152549015810281
-159.521837943239,22.6980579474197,train,1.924593580949438E-4,66.50895153039149,0.793449990769645
-159.3745714,22.3631072,train,2.78348407040927E-4,89.32864249563865,0.8978259116566119
-159.560893407083,22.7397480182095,train,1.8046259255055931E-4,61.57539567391964,0.7721114785564518
-159.4090986,22.69958,train,1.7724844676512722E-4,60.45743957699571,0.7660291274443554
-159.409563482254,22.7030138412097,train,1.7515755390391232E-4,59.760889496795116,0.7619855018736207
-159.02850343786,22.4325187308119,train,2.3050543865814764E-4,80.00841419630264,0.8487773443729755
-159.179137522042,22.3584584669221,train,2.3083750056548288E-4,80.09034130576786,0.8491883013671679
-159.184365377237,22.3168064247416,train,2.6231329285150023E-4,87.11363900183687,0.8834772471200657
-158.987712468089,23.2291172424836,train,2.2535053189262175E-4,78.44023753723296,0.8422521339260023
-159.023414701341,23.242374497368,train,2.246088200088294E-4,78.17573322000156,0.8412903654536888
-158.627788087549,22.5031289890874,train,1.6704125775350424E-4,56.711426963339186,0.7456159877702264
-159.039128985269,23.3013468068067,train,2.1189244984724662E-4,74.31251833018766,0.82385852004708
-158.979186125017,23.1945901983066,train,2.32527076225516E-4,80.6056386838869,0.8512620720527658
-159.140429703754,23.0109267019779,train,2.1495464442429927E-4,75.20798769457554,0.828223756645083
-159.097973510453,23.1993741601979,train,1.9460691573166639E-4,67.26396018772725,0.7970533307858039
